TableS2 marker genes of macrophage subpopulations identified by single-cell multi-omics,,,,,,,
gene,cluster,pct.1,pct.2,avg_log2FC,p_val,p_val_adj,
ZNF407,Cycling MΦ-1,0.912,0.861,0.086525587,3.33E-09,0.000121748,
UPF2,Cycling MΦ-1,0.829,0.679,0.106957976,3.41E-09,0.000124862,
CUL3,Cycling MΦ-1,0.934,0.813,0.091688344,3.44E-09,0.000125781,
SMAD5,Cycling MΦ-1,0.628,0.458,0.11744166,3.44E-09,0.000125974,
MBNL1-AS1,Cycling MΦ-1,0.25,0.133,0.106593902,3.45E-09,0.000126106,
GNB5,Cycling MΦ-1,0.183,0.086,0.089251294,3.48E-09,0.000127426,
NOM1,Cycling MΦ-1,0.428,0.265,0.11489179,3.49E-09,0.000127811,
ARID1A,Cycling MΦ-1,0.847,0.699,0.10496875,3.57E-09,0.000130486,
ATG3,Cycling MΦ-1,0.602,0.435,0.140944689,3.67E-09,0.000134201,
SPCS2,Cycling MΦ-1,0.711,0.519,0.147787181,3.70E-09,0.000135358,
OAS3,Cycling MΦ-1,0.207,0.086,0.083746241,3.72E-09,0.000136173,
WARS2,Cycling MΦ-1,0.335,0.194,0.126093396,3.73E-09,0.000136378,
UFD1,Cycling MΦ-1,0.493,0.316,0.112564298,3.76E-09,0.000137761,
BX890604.2,Cycling MΦ-1,0.269,0.137,0.101526038,3.95E-09,0.000144426,
EIPR1,Cycling MΦ-1,0.535,0.365,0.11000369,3.96E-09,0.00014503,
PLAU,Cycling MΦ-1,0.779,0.602,0.209657625,4.05E-09,0.000148382,
PHF5A,Cycling MΦ-1,0.173,0.064,0.068498433,4.15E-09,0.000151846,
DPY19L4,Cycling MΦ-1,0.432,0.27,0.108092238,4.17E-09,0.0001526,
TECR,Cycling MΦ-1,0.519,0.338,0.162825123,4.24E-09,0.000155219,
ZC3H7A,Cycling MΦ-1,0.693,0.524,0.112928952,4.37E-09,0.000160125,
PLA2G4A,Cycling MΦ-1,0.776,0.611,0.1344489,4.41E-09,0.000161327,
MCPH1-AS1,Cycling MΦ-1,0.257,0.129,0.105857166,4.48E-09,0.000164028,
ABHD2,Cycling MΦ-1,0.846,0.695,0.108950115,4.49E-09,0.00016421,
SLC25A28,Cycling MΦ-1,0.278,0.15,0.096235012,4.55E-09,0.000166635,
MAP3K21,Cycling MΦ-1,0.295,0.158,0.122018623,4.59E-09,0.000167882,
SYNCRIP,Cycling MΦ-1,0.777,0.62,0.12857052,4.61E-09,0.000168582,
GIT1,Cycling MΦ-1,0.32,0.17,0.09350722,4.82E-09,0.000176236,
CDADC1,Cycling MΦ-1,0.354,0.193,0.09496689,5.11E-09,0.00018714,
SMIM13,Cycling MΦ-1,0.289,0.149,0.089979015,5.18E-09,0.000189743,
TXLNG,Cycling MΦ-1,0.281,0.138,0.093230342,5.21E-09,0.000190514,
PBRM1,Cycling MΦ-1,0.945,0.888,0.092757632,5.24E-09,0.000191787,
ARHGAP20,Cycling MΦ-1,0.173,0.074,0.124832273,5.30E-09,0.000193926,
VMA21,Cycling MΦ-1,0.391,0.224,0.119502128,5.33E-09,0.000195133,
TULP3,Cycling MΦ-1,0.281,0.147,0.093102822,5.49E-09,0.000200772,
PRPF4B,Cycling MΦ-1,0.925,0.826,0.075331718,5.52E-09,0.000202008,
NSMAF,Cycling MΦ-1,0.821,0.683,0.113131889,5.53E-09,0.000202441,
NCBP1,Cycling MΦ-1,0.564,0.371,0.097828142,5.71E-09,0.000208845,
GAPDH,Cycling MΦ-1,0.806,0.669,0.312575108,5.72E-09,0.000209375,
FKTN,Cycling MΦ-1,0.498,0.323,0.101934999,5.78E-09,0.000211371,
TMEM18,Cycling MΦ-1,0.29,0.149,0.096217395,5.80E-09,0.000212368,
CEBPZ,Cycling MΦ-1,0.522,0.341,0.115416397,5.84E-09,0.000213847,
UBE2I,Cycling MΦ-1,0.532,0.361,0.128658705,6.01E-09,0.000220082,
RFT1,Cycling MΦ-1,0.289,0.146,0.090167687,6.09E-09,0.000222934,
HIST1H4E,Cycling MΦ-1,0.132,0.046,0.061416635,6.42E-09,0.000234817,
DAP,Cycling MΦ-1,0.676,0.484,0.112831693,6.42E-09,0.000234833,
UTP20,Cycling MΦ-1,0.349,0.196,0.100969315,6.50E-09,0.000237914,
PIK3CG,Cycling MΦ-1,0.636,0.448,0.138313695,6.61E-09,0.000241978,
SETD5,Cycling MΦ-1,0.93,0.853,0.105689125,6.71E-09,0.000245636,
LAT2,Cycling MΦ-1,0.665,0.484,0.153496451,6.91E-09,0.000252841,
FBL,Cycling MΦ-1,0.232,0.105,0.088709784,7.11E-09,0.000260411,
SEC11A,Cycling MΦ-1,0.771,0.612,0.115327523,7.18E-09,0.000262873,
MRPL37,Cycling MΦ-1,0.258,0.123,0.08691011,7.39E-09,0.000270353,
AC099850.1,Cycling MΦ-1,0.1,0.032,0.062220538,7.39E-09,0.000270533,
EXT1,Cycling MΦ-1,0.493,0.328,0.148402936,7.52E-09,0.000275108,
COX8A,Cycling MΦ-1,0.626,0.432,0.213689423,7.73E-09,0.000282917,
PHF6,Cycling MΦ-1,0.486,0.308,0.109981275,8.12E-09,0.000297137,
PAK4,Cycling MΦ-1,0.235,0.109,0.082561759,8.13E-09,0.000297418,
RPS6,Cycling MΦ-1,0.734,0.545,0.24846867,8.16E-09,0.000298561,
TRIM13,Cycling MΦ-1,0.694,0.523,0.107662478,8.20E-09,0.000300049,
THUMPD2,Cycling MΦ-1,0.635,0.465,0.122241552,8.44E-09,0.000308861,
NF2,Cycling MΦ-1,0.503,0.322,0.116071111,8.71E-09,0.000318894,
POU2F1,Cycling MΦ-1,0.822,0.663,0.087025655,8.76E-09,0.000320566,
MTMR6,Cycling MΦ-1,0.64,0.504,0.144840866,8.96E-09,0.000327907,
LYPLA1,Cycling MΦ-1,0.839,0.675,0.112603471,8.97E-09,0.000328354,
FAM110A,Cycling MΦ-1,0.381,0.214,0.091438608,9.20E-09,0.000336793,
RPL22,Cycling MΦ-1,0.68,0.489,0.211043097,9.58E-09,0.000350568,
MFSD6,Cycling MΦ-1,0.416,0.264,0.11885807,9.79E-09,0.000358392,
ING5,Cycling MΦ-1,0.349,0.192,0.089851355,9.86E-09,0.000360727,
TMEM87A,Cycling MΦ-1,0.763,0.599,0.117188636,9.96E-09,0.0003646,
FXYD5,Cycling MΦ-1,0.747,0.579,0.231774007,1.02E-08,0.000371797,
NEDD9,Cycling MΦ-1,0.292,0.144,0.104777165,1.03E-08,0.000377402,
XPO4,Cycling MΦ-1,0.751,0.586,0.103930824,1.03E-08,0.000378751,
TERF1,Cycling MΦ-1,0.404,0.233,0.097552907,1.05E-08,0.000386091,
GLRX5,Cycling MΦ-1,0.25,0.122,0.086655168,1.07E-08,0.000389926,
RCOR1,Cycling MΦ-1,0.736,0.586,0.121749497,1.08E-08,0.000395444,
MBNL3,Cycling MΦ-1,0.495,0.317,0.137228928,1.08E-08,0.000396818,
RPL35,Cycling MΦ-1,0.686,0.529,0.281454496,1.09E-08,0.000400313,
POFUT1,Cycling MΦ-1,0.273,0.14,0.100560948,1.10E-08,0.000402811,
SNHG8,Cycling MΦ-1,0.461,0.316,0.133245558,1.12E-08,0.000410964,
DHX33,Cycling MΦ-1,0.29,0.154,0.101926712,1.15E-08,0.000419503,
CDK16,Cycling MΦ-1,0.273,0.135,0.086080365,1.15E-08,0.000420501,
SIK2,Cycling MΦ-1,0.776,0.616,0.091312902,1.16E-08,0.000422865,
HSF2,Cycling MΦ-1,0.296,0.154,0.08558203,1.20E-08,0.000439746,
RALGPS1,Cycling MΦ-1,0.253,0.139,0.105513858,1.21E-08,0.000441428,
PFN1,Cycling MΦ-1,0.839,0.691,0.273197212,1.22E-08,0.000447662,
PNN,Cycling MΦ-1,0.715,0.556,0.105736819,1.23E-08,0.000449265,
DENND6A-AS1,Cycling MΦ-1,0.335,0.194,0.108143421,1.24E-08,0.000453335,
DESI2,Cycling MΦ-1,0.498,0.332,0.108729133,1.25E-08,0.000459294,
BRD7,Cycling MΦ-1,0.638,0.472,0.10641934,1.26E-08,0.000460801,
MAP4K4,Cycling MΦ-1,0.921,0.826,0.097484888,1.27E-08,0.000466139,
HSPA9,Cycling MΦ-1,0.722,0.551,0.126775856,1.31E-08,0.000480819,
AQR,Cycling MΦ-1,0.723,0.56,0.110501925,1.34E-08,0.000490114,
GAPT,Cycling MΦ-1,0.159,0.058,0.073825729,1.34E-08,0.000491912,
CANT1,Cycling MΦ-1,0.283,0.135,0.083951015,1.36E-08,0.00049676,
PRADC1,Cycling MΦ-1,0.137,0.05,0.06169637,1.38E-08,0.000504685,
KIAA1257,Cycling MΦ-1,0.116,0.047,0.066397889,1.41E-08,0.000516612,
NEK1,Cycling MΦ-1,0.611,0.44,0.122304838,1.46E-08,0.000533485,
CDC42EP4,Cycling MΦ-1,0.108,0.033,0.055287246,1.46E-08,0.000533944,
SNRPD3,Cycling MΦ-1,0.294,0.149,0.098061071,1.50E-08,0.000550072,
PRDX4,Cycling MΦ-1,0.375,0.216,0.119401846,1.51E-08,0.000554029,
KANTR,Cycling MΦ-1,0.582,0.414,0.112899184,1.53E-08,0.000560558,
HSPA8,Cycling MΦ-1,0.613,0.446,0.250659618,1.66E-08,0.000606426,
LGALS12,Cycling MΦ-1,0.104,0.031,0.049920099,1.67E-08,0.000610785,
TPRKB,Cycling MΦ-1,0.224,0.094,0.068340607,1.71E-08,0.000624454,
ZNF850,Cycling MΦ-1,0.196,0.084,0.076315394,1.71E-08,0.000626699,
AL122035.1,Cycling MΦ-1,0.133,0.056,0.071382845,1.74E-08,0.000638592,
SDF2L1,Cycling MΦ-1,0.418,0.235,0.139450059,1.76E-08,0.000642704,
TCF3,Cycling MΦ-1,0.265,0.136,0.086117081,1.79E-08,0.000655634,
SUN1,Cycling MΦ-1,0.466,0.28,0.086478859,1.81E-08,0.000661187,
DYNLT1,Cycling MΦ-1,0.54,0.371,0.117859837,1.82E-08,0.000667378,
ZNF20,Cycling MΦ-1,0.134,0.048,0.060290058,1.92E-08,0.000704074,
YLPM1,Cycling MΦ-1,0.751,0.556,0.095917576,1.92E-08,0.000704464,
PTK2,Cycling MΦ-1,0.796,0.671,0.136633525,1.97E-08,0.000722468,
CENPT,Cycling MΦ-1,0.196,0.081,0.064639058,1.98E-08,0.000723359,
CMTM4,Cycling MΦ-1,0.441,0.284,0.105124541,2.00E-08,0.000733812,
TIPIN,Cycling MΦ-1,0.184,0.075,0.073102996,2.02E-08,0.000737703,
KPNA1,Cycling MΦ-1,0.819,0.676,0.07516494,2.05E-08,0.000750473,
GANAB,Cycling MΦ-1,0.581,0.393,0.138587397,2.05E-08,0.00075173,
METTL21A,Cycling MΦ-1,0.394,0.237,0.108845561,2.12E-08,0.000774636,
C14orf93,Cycling MΦ-1,0.188,0.084,0.076985048,2.12E-08,0.000775324,
FNIP1,Cycling MΦ-1,0.975,0.944,0.078001334,2.14E-08,0.000784173,
TP53I13,Cycling MΦ-1,0.31,0.161,0.095621843,2.16E-08,0.000790492,
H2AFJ,Cycling MΦ-1,0.491,0.338,0.14295546,2.16E-08,0.000791129,
SRRM2,Cycling MΦ-1,0.887,0.782,0.090802293,2.18E-08,0.000799699,
SUMO2,Cycling MΦ-1,0.593,0.396,0.145932726,2.20E-08,0.000806315,
DAZAP1,Cycling MΦ-1,0.526,0.349,0.085261304,2.23E-08,0.000814435,
TBC1D1,Cycling MΦ-1,0.841,0.698,0.061898369,2.35E-08,0.000860689,
PLEKHA5,Cycling MΦ-1,0.653,0.475,0.095689367,2.47E-08,0.000902386,
RUSC1,Cycling MΦ-1,0.165,0.076,0.071320252,2.47E-08,0.000903313,
PROSER1,Cycling MΦ-1,0.423,0.247,0.085462951,2.50E-08,0.000915644,
SLC38A10,Cycling MΦ-1,0.598,0.405,0.122453964,2.51E-08,0.000918241,
TBP,Cycling MΦ-1,0.348,0.199,0.08399467,2.59E-08,0.000947169,
RPL36A,Cycling MΦ-1,0.668,0.487,0.216446763,2.59E-08,0.000949004,
NID1,Cycling MΦ-1,0.228,0.11,0.093683594,2.67E-08,0.000977662,
MBD2,Cycling MΦ-1,0.769,0.61,0.092405034,2.75E-08,0.001005778,
SLC19A1,Cycling MΦ-1,0.154,0.057,0.067425996,2.79E-08,0.001021012,
TMEM258,Cycling MΦ-1,0.404,0.236,0.137575586,2.82E-08,0.001032665,
TAF4,Cycling MΦ-1,0.323,0.199,0.096406155,2.87E-08,0.001049683,
FOXN2,Cycling MΦ-1,0.887,0.779,0.091070837,2.90E-08,0.001059719,
TPM4,Cycling MΦ-1,0.874,0.744,0.120857153,2.94E-08,0.001076352,
EIF4EBP1,Cycling MΦ-1,0.279,0.15,0.100788136,2.94E-08,0.001077895,
HPSE,Cycling MΦ-1,0.518,0.325,0.159425283,3.02E-08,0.001105948,
SNRPE,Cycling MΦ-1,0.302,0.155,0.089313588,3.03E-08,0.001107526,
NR2C1,Cycling MΦ-1,0.597,0.437,0.113167577,3.06E-08,0.001119607,
AZIN1,Cycling MΦ-1,0.731,0.576,0.11337803,3.10E-08,0.00113331,
RBM4B,Cycling MΦ-1,0.213,0.104,0.078460287,3.10E-08,0.001134924,
NEDD4L,Cycling MΦ-1,0.559,0.395,0.12322383,3.15E-08,0.001154015,
MLLT3,Cycling MΦ-1,0.225,0.107,0.103905484,3.19E-08,0.00116782,
REV3L,Cycling MΦ-1,0.885,0.788,0.085390025,3.57E-08,0.001306467,
HINT2,Cycling MΦ-1,0.157,0.063,0.066692858,3.57E-08,0.001308222,
DDX23,Cycling MΦ-1,0.314,0.164,0.086817724,3.60E-08,0.001318928,
DSE,Cycling MΦ-1,0.661,0.491,0.131054342,3.63E-08,0.001329916,
AL020995.1,Cycling MΦ-1,0.166,0.073,0.077377493,3.65E-08,0.001336185,
QTRT2,Cycling MΦ-1,0.464,0.297,0.100263116,3.67E-08,0.001345022,
SRSF11,Cycling MΦ-1,0.938,0.877,0.087664062,3.75E-08,0.001373185,
RPS21,Cycling MΦ-1,0.697,0.532,0.255303255,3.78E-08,0.001384986,
KATNA1,Cycling MΦ-1,0.394,0.247,0.103325093,3.88E-08,0.001421314,
SFT2D2,Cycling MΦ-1,0.731,0.558,0.11772331,4.13E-08,0.001511282,
NME1,Cycling MΦ-1,0.312,0.166,0.099759629,4.14E-08,0.001514319,
WDYHV1,Cycling MΦ-1,0.184,0.085,0.088284023,4.15E-08,0.00151811,
PLEK2,Cycling MΦ-1,0.195,0.099,0.087677177,4.17E-08,0.001524835,
AC113414.1,Cycling MΦ-1,0.121,0.045,0.081749083,4.36E-08,0.00159685,
BTAF1,Cycling MΦ-1,0.866,0.719,0.068117062,4.39E-08,0.001607556,
MIB1,Cycling MΦ-1,0.736,0.563,0.107246395,4.50E-08,0.0016462,
CDK11B,Cycling MΦ-1,0.435,0.26,0.089775965,4.69E-08,0.001717856,
PSMD1,Cycling MΦ-1,0.928,0.828,0.073272065,4.70E-08,0.001721673,
PLCXD1,Cycling MΦ-1,0.204,0.103,0.078580323,4.73E-08,0.001731233,
ZNF266,Cycling MΦ-1,0.378,0.229,0.089817491,4.76E-08,0.001740958,
AC066613.2,Cycling MΦ-1,0.756,0.616,0.078572713,4.79E-08,0.00175231,
ILKAP,Cycling MΦ-1,0.646,0.473,0.086049718,4.98E-08,0.001822175,
MRPL57,Cycling MΦ-1,0.418,0.246,0.118012119,5.14E-08,0.001879695,
TNFRSF10B,Cycling MΦ-1,0.665,0.501,0.155507307,5.20E-08,0.001903432,
KCTD3,Cycling MΦ-1,0.431,0.266,0.097864355,5.21E-08,0.001907113,
HNRNPA0,Cycling MΦ-1,0.332,0.179,0.09831971,5.29E-08,0.001936598,
HNRNPDL,Cycling MΦ-1,0.812,0.656,0.095908169,5.44E-08,0.001990854,
IGF2BP2,Cycling MΦ-1,0.329,0.214,0.146269593,5.56E-08,0.002036834,
GCNT1,Cycling MΦ-1,0.804,0.657,0.14633786,5.57E-08,0.002037348,
GUCD1,Cycling MΦ-1,0.264,0.131,0.085585325,5.57E-08,0.002038789,
ABCB10,Cycling MΦ-1,0.534,0.38,0.101655644,5.65E-08,0.002066129,
PCNX1,Cycling MΦ-1,0.924,0.866,0.108725767,5.73E-08,0.002095683,
ZNF236,Cycling MΦ-1,0.66,0.491,0.085815447,5.75E-08,0.002102919,
HPGDS,Cycling MΦ-1,0.253,0.125,0.112510217,5.94E-08,0.002172455,
SEPTIN8,Cycling MΦ-1,0.157,0.068,0.066585197,5.94E-08,0.002174865,
PKN2,Cycling MΦ-1,0.938,0.858,0.084373777,6.00E-08,0.002194839,
DPM2,Cycling MΦ-1,0.236,0.111,0.079947525,6.04E-08,0.002211474,
ICA1L,Cycling MΦ-1,0.134,0.058,0.083547058,6.15E-08,0.00225228,
PPP1R12B,Cycling MΦ-1,0.779,0.601,0.055330025,6.34E-08,0.002321505,
KIF21A,Cycling MΦ-1,0.108,0.039,0.066289256,6.48E-08,0.002369989,
SMARCAD1,Cycling MΦ-1,0.704,0.514,0.08550705,6.48E-08,0.002371475,
U2SURP,Cycling MΦ-1,0.762,0.59,0.074760954,6.63E-08,0.00242774,
LINC00877,Cycling MΦ-1,0.154,0.06,0.073423552,6.70E-08,0.002450887,
CCT4,Cycling MΦ-1,0.522,0.347,0.108590187,6.70E-08,0.002452071,
AL360178.1,Cycling MΦ-1,0.105,0.031,0.055277745,6.81E-08,0.00249175,
DDX10,Cycling MΦ-1,0.672,0.519,0.097696173,6.84E-08,0.002502907,
PRUNE2,Cycling MΦ-1,0.361,0.209,0.107340942,6.87E-08,0.002516144,
FES,Cycling MΦ-1,0.46,0.284,0.110840643,7.23E-08,0.002645663,
TMX3,Cycling MΦ-1,0.714,0.547,0.09347128,7.43E-08,0.002719847,
RPS25,Cycling MΦ-1,0.738,0.559,0.214965528,7.47E-08,0.002732876,
TSEN15,Cycling MΦ-1,0.472,0.297,0.095370102,7.55E-08,0.002764101,
MRPS11,Cycling MΦ-1,0.385,0.225,0.096193112,8.27E-08,0.003025875,
TP53,Cycling MΦ-1,0.397,0.231,0.107757314,8.27E-08,0.00302795,
YWHAE,Cycling MΦ-1,0.74,0.575,0.136554409,8.36E-08,0.003060957,
AP000753.2,Cycling MΦ-1,0.133,0.054,0.05806515,8.37E-08,0.003062426,
EIF2AK3,Cycling MΦ-1,0.511,0.365,0.099740711,8.37E-08,0.003063917,
RPL29,Cycling MΦ-1,0.635,0.446,0.220694739,8.39E-08,0.003071242,
GPR89A,Cycling MΦ-1,0.382,0.242,0.099987566,8.49E-08,0.00310674,
VPS13A,Cycling MΦ-1,0.652,0.509,0.103020932,8.59E-08,0.003145679,
PXMP4,Cycling MΦ-1,0.157,0.063,0.060619586,8.65E-08,0.003167271,
PABPC1L,Cycling MΦ-1,0.24,0.11,0.064615606,8.77E-08,0.003210669,
ZNF200,Cycling MΦ-1,0.2,0.098,0.077141332,8.81E-08,0.003224067,
CLIC4,Cycling MΦ-1,0.657,0.478,0.099032104,8.82E-08,0.003228233,
COLGALT1,Cycling MΦ-1,0.843,0.679,0.139152289,8.82E-08,0.003229617,
MUS81,Cycling MΦ-1,0.455,0.313,0.095103351,8.86E-08,0.003241624,
SEMA4B,Cycling MΦ-1,0.319,0.182,0.0954805,9.02E-08,0.003302701,
TMTC4,Cycling MΦ-1,0.232,0.125,0.088634848,9.15E-08,0.00335009,
CARNMT1,Cycling MΦ-1,0.339,0.196,0.102487039,9.42E-08,0.003446339,
TXNDC16,Cycling MΦ-1,0.455,0.263,0.09945943,9.48E-08,0.003470633,
ANKRD52,Cycling MΦ-1,0.377,0.209,0.085620177,9.85E-08,0.003604683,
HELB,Cycling MΦ-1,0.235,0.119,0.099358853,9.93E-08,0.003632904,
TEC,Cycling MΦ-1,0.929,0.818,0.058219238,1.01E-07,0.003684375,
PPIL1,Cycling MΦ-1,0.112,0.041,0.052075896,1.01E-07,0.003713934,
SGF29,Cycling MΦ-1,0.202,0.094,0.075370809,1.08E-07,0.003934611,
RPL26,Cycling MΦ-1,0.733,0.552,0.213613849,1.13E-07,0.00411853,
MRPL42,Cycling MΦ-1,0.398,0.233,0.092184194,1.14E-07,0.004158287,
VAV2,Cycling MΦ-1,0.254,0.147,0.086946922,1.15E-07,0.004212879,
VPS36,Cycling MΦ-1,0.727,0.591,0.096988066,1.17E-07,0.004279144,
TPI1,Cycling MΦ-1,0.59,0.415,0.174912949,1.19E-07,0.004346779,
GSS,Cycling MΦ-1,0.362,0.219,0.103877803,1.19E-07,0.004370135,
RPRD2,Cycling MΦ-1,0.693,0.546,0.110665185,1.20E-07,0.004381472,
ZC3H18,Cycling MΦ-1,0.472,0.297,0.08581752,1.28E-07,0.004674372,
LRRC8B,Cycling MΦ-1,0.408,0.243,0.093806547,1.30E-07,0.004768508,
PPRC1,Cycling MΦ-1,0.262,0.16,0.090092618,1.31E-07,0.004791649,
PNPT1,Cycling MΦ-1,0.478,0.325,0.115518773,1.32E-07,0.004819217,
RC3H2,Cycling MΦ-1,0.706,0.561,0.111573093,1.32E-07,0.00484402,
TNFAIP8L3,Cycling MΦ-1,0.165,0.081,0.084110422,1.33E-07,0.004849993,
KLHDC4,Cycling MΦ-1,0.287,0.154,0.077839803,1.34E-07,0.004893288,
AKT1,Cycling MΦ-1,0.414,0.244,0.101164944,1.36E-07,0.004965635,
FXYD2,Cycling MΦ-1,0.116,0.041,0.048554646,1.36E-07,0.004984945,
ZBTB44,Cycling MΦ-1,0.569,0.404,0.098751626,1.37E-07,0.005003128,
JADE2,Cycling MΦ-1,0.208,0.095,0.066008405,1.40E-07,0.005130846,
PTEN,Cycling MΦ-1,0.934,0.875,0.099071908,1.44E-07,0.0052787,
NUBP2,Cycling MΦ-1,0.182,0.081,0.074474058,1.45E-07,0.005307827,
RP2,Cycling MΦ-1,0.597,0.432,0.109263998,1.49E-07,0.005456661,
AL354696.2,Cycling MΦ-1,0.182,0.075,0.068929407,1.54E-07,0.005633119,
PIBF1,Cycling MΦ-1,0.829,0.708,0.086299954,1.55E-07,0.005656193,
RAC2,Cycling MΦ-1,0.422,0.269,0.112971592,1.55E-07,0.005683606,
TTC7A,Cycling MΦ-1,0.764,0.585,0.089245186,1.57E-07,0.005750817,
ORC5,Cycling MΦ-1,0.567,0.395,0.079069447,1.57E-07,0.00576335,
TMA16,Cycling MΦ-1,0.445,0.271,0.087844566,1.62E-07,0.00593398,
GSPT1,Cycling MΦ-1,0.65,0.484,0.107222979,1.64E-07,0.00601143,
HBS1L,Cycling MΦ-1,0.639,0.472,0.077267322,1.65E-07,0.006030208,
LTB4R,Cycling MΦ-1,0.25,0.137,0.083216618,1.67E-07,0.006107081,
SDHAF3,Cycling MΦ-1,0.209,0.098,0.083503947,1.68E-07,0.006147653,
IGF1R,Cycling MΦ-1,0.397,0.276,0.117829361,1.71E-07,0.006246852,
DAG1,Cycling MΦ-1,0.262,0.134,0.082866444,1.73E-07,0.006340822,
TRMT9B,Cycling MΦ-1,0.138,0.062,0.069557595,1.74E-07,0.006370459,
AC011603.2,Cycling MΦ-1,0.199,0.093,0.080062143,1.77E-07,0.006494966,
ABCD3,Cycling MΦ-1,0.564,0.397,0.091694395,1.78E-07,0.006503846,
MELTF,Cycling MΦ-1,0.323,0.185,0.096607429,1.78E-07,0.006511284,
CCT6A,Cycling MΦ-1,0.513,0.35,0.115075223,1.80E-07,0.006599258,
TXNL4A,Cycling MΦ-1,0.472,0.323,0.108756349,1.82E-07,0.006666143,
ACTR2,Cycling MΦ-1,0.975,0.925,0.101206311,1.83E-07,0.006682327,
CTBP2,Cycling MΦ-1,0.826,0.719,0.076040628,1.88E-07,0.006864678,
CFAP44,Cycling MΦ-1,0.372,0.207,0.087794023,1.88E-07,0.006895073,
TASOR2,Cycling MΦ-1,0.826,0.697,0.109474169,1.91E-07,0.006984337,
NACA,Cycling MΦ-1,0.64,0.437,0.159702554,1.91E-07,0.006992081,
SNRPC,Cycling MΦ-1,0.402,0.236,0.098723051,1.92E-07,0.007032265,
RRP7A,Cycling MΦ-1,0.387,0.22,0.091344908,1.92E-07,0.007036536,
ENOPH1,Cycling MΦ-1,0.377,0.23,0.090903883,1.94E-07,0.007102049,
NOL10,Cycling MΦ-1,0.603,0.445,0.100047283,1.95E-07,0.007137746,
RPLP2,Cycling MΦ-1,0.78,0.65,0.276779199,1.95E-07,0.007152717,
FXYD6,Cycling MΦ-1,0.142,0.057,0.075165788,1.99E-07,0.007276185,
TBK1,Cycling MΦ-1,0.814,0.655,0.067358958,2.04E-07,0.007457635,
AC027288.3,Cycling MΦ-1,0.163,0.07,0.087603817,2.09E-07,0.007645876,
AL390774.2,Cycling MΦ-1,0.319,0.182,0.0760093,2.09E-07,0.007647193,
GNPNAT1,Cycling MΦ-1,0.158,0.075,0.072470716,2.16E-07,0.007907989,
ARID1B,Cycling MΦ-1,0.988,0.964,0.002049452,2.23E-07,0.008176377,
RPS3,Cycling MΦ-1,0.657,0.497,0.227654701,2.28E-07,0.008347831,
PAAF1,Cycling MΦ-1,0.352,0.214,0.095836658,2.36E-07,0.008626646,
USP22,Cycling MΦ-1,0.696,0.521,0.088889076,2.37E-07,0.008667486,
NOL11,Cycling MΦ-1,0.291,0.16,0.085469577,2.42E-07,0.008868073,
TUBGCP4,Cycling MΦ-1,0.285,0.155,0.073234755,2.44E-07,0.008916341,
ABCB8,Cycling MΦ-1,0.337,0.196,0.076653583,2.50E-07,0.009166566,
GTF2A2,Cycling MΦ-1,0.341,0.186,0.096526838,2.55E-07,0.009338753,
SH3D19,Cycling MΦ-1,0.188,0.105,0.093967545,2.61E-07,0.009556127,
SRPRA,Cycling MΦ-1,0.411,0.25,0.1062245,2.64E-07,0.009680767,
B3GALNT2,Cycling MΦ-1,0.527,0.369,0.099185247,2.66E-07,0.009726483,
SS18,Cycling MΦ-1,0.754,0.631,0.09430823,2.67E-07,0.00976177,
AC092535.4,Cycling MΦ-1,0.166,0.102,0.107821761,2.68E-07,0.009823859,
NDUFV1,Cycling MΦ-1,0.574,0.389,0.09228139,2.70E-07,0.009891391,
BANF1,Cycling MΦ-1,0.408,0.245,0.103014838,2.72E-07,0.009937203,
CARNMT1-AS1,Cycling MΦ-1,0.132,0.056,0.057425992,2.72E-07,0.009963581,
FAM241A,Cycling MΦ-1,0.215,0.1,0.091711837,2.73E-07,0.009983276,
PDCD11,Cycling MΦ-1,0.386,0.243,0.091669395,2.74E-07,0.010010839,
MUTYH,Cycling MΦ-1,0.169,0.074,0.06262023,2.74E-07,0.01002077,
PCED1B-AS1,Cycling MΦ-1,0.237,0.106,0.078760104,2.78E-07,0.010193355,
ATF7IP,Cycling MΦ-1,0.881,0.765,0.090936586,2.80E-07,0.010236595,
AP3M2,Cycling MΦ-1,0.379,0.252,0.100920371,2.81E-07,0.010291929,
CCDC47,Cycling MΦ-1,0.598,0.416,0.120229232,2.87E-07,0.010522347,
RPS6KA3,Cycling MΦ-1,0.868,0.747,0.102548399,2.91E-07,0.010645583,
CPSF2,Cycling MΦ-1,0.574,0.399,0.093504929,2.95E-07,0.010795651,
AC007098.1,Cycling MΦ-1,0.12,0.052,0.065520062,2.97E-07,0.010875359,
CAVIN3,Cycling MΦ-1,0.103,0.036,0.049522328,3.00E-07,0.010977896,
UQCRQ,Cycling MΦ-1,0.584,0.399,0.147698344,3.10E-07,0.011350569,
SPOCK1,Cycling MΦ-1,0.177,0.085,0.098633314,3.12E-07,0.011426329,
GLA,Cycling MΦ-1,0.63,0.447,0.091086146,3.13E-07,0.011441489,
DNM1L,Cycling MΦ-1,0.817,0.668,0.081508966,3.13E-07,0.011451283,
RNF121,Cycling MΦ-1,0.497,0.329,0.080721441,3.13E-07,0.011460137,
CFDP1,Cycling MΦ-1,0.762,0.599,0.08602247,3.13E-07,0.011464841,
